the	DET	le
and	CCONJ	et
be	AUX	fut
for	ADP	pour
that	DET	que
with	ADP	avec
from	ADP	du
this	DET	ceci
his	PRON	sa
not	PART	non
talk	VERB	parler
which	DET	lesquels
also	ADV	également
but	CCONJ	mais
have	AUX	avoir
one	NUM	un
new	ADJ	nouveau
first	ADV	première
page	NOUN	pages
you	PRON	vous
they	PRON	elles
article	NOUN	article
who	PRON	qui
all	DET	toute
their	PRON	leur
there	ADV	là
make	VERB	fait
its	PRON	sa
people	NOUN	gens
may	AUX	mai
after	ADP	apres
other	ADJ	autre
should	AUX	devrait
two	NUM	deux
score	NOUN	marquer
can	AUX	peuvent
would	AUX	serait
more	ADV	davantage
she	PRON	elle
when	SCONJ	lorsque
time	NOUN	temps
team	NOUN	équipe
american	PROPN	américaine
such	ADJ	tels
discussion	NOUN	discussions
link	NOUN	liens
only	ADV	seul
some	DET	certains
see	VERB	consultez
united	PROPN	unie
year	NOUN	années
school	NOUN	ecole
world	NOUN	monde
university	NOUN	université
during	ADP	durant
out	ADV	sortir
state	NOUN	etat
national	ADJ	nationaux
wikipedia	NOUN	wikipédia
most	ADV	most
city	NOUN	ville
use	VERB	utilisées
then	ADV	ensuite
county	NOUN	comté
external	ADJ	externe
where	SCONJ	où
will	AUX	volonté
what	PRON	quoi
delete	VERB	supprimer
these	DET	ces
january	PROPN	janvier
march	PROPN	marche
august	PROPN	aout
july	PROPN	juillet
film	NOUN	film
he	PRON	lui
many	ADJ	nombreux
south	PROPN	méridional
september	PROPN	septembre
like	INTJ	comme
between	ADP	entre
october	PROPN	octobre
three	NUM	trois
june	PROPN	juin
well	INTJ	bien
war	NOUN	guerre
under	ADP	sous
april	PROPN	avril
bear	VERB	naître
december	PROPN	décembre
link	VERB	lien
later	ADV	ultérieur
part	NOUN	partie
november	PROPN	novembre
player	NOUN	joueurs
list	NOUN	liste
please	INTJ	veuillez
follow	VERB	suivantes
february	PROPN	fevrier
know	VERB	connues
second	ADV	deuxième
name	NOUN	nommer
group	NOUN	groupe
history	NOUN	histoire
series	NOUN	série
just	ADV	simplement
north	NOUN	nord
work	NOUN	travaux
before	ADP	auparavant
since	SCONJ	depuis
season	NOUN	saison
high	ADJ	élevée
through	ADP	via
district	NOUN	arrondissements
now	ADV	désormais
comment	NOUN	commentaires
because	SCONJ	parce
football	NOUN	football
music	NOUN	musiques
however	ADV	toutefois
diff	NOUN	différence
century	NOUN	siecle
league	NOUN	ligue
edit	VERB	modifications
debate	NOUN	débat
title	NOUN	titre
john	PROPN	jean
same	ADJ	pareil
include	VERB	incluant
could	AUX	pourrais
english	PROPN	anglaise
album	NOUN	album
number	NOUN	nombre
against	ADP	contre
family	NOUN	familiale
user	NOUN	utilisateur
base	VERB	basée
area	NOUN	région
become	VERB	devenus
york	PROPN	york
life	NOUN	vie
british	PROPN	britanniques
international	ADJ	internationaux
game	NOUN	gibier
club	NOUN	discothèques
your	PRON	votre
early	ADV	précoce
good	ADJ	meilleure
west	PROPN	occidentale
house	NOUN	maison
company	NOUN	compagnie
general	ADJ	généraux
leave	VERB	gauche
very	ADV	très
here	ADV	ici
don	PROPN	don
live	VERB	vivante
day	NOUN	journée
several	ADJ	plusieurs
place	NOUN	endroit
party	NOUN	partie
college	NOUN	collège
result	VERB	résultat
keep	VERB	maintenir
appropriate	ADJ	approprié
four	NUM	quatre
even	ADV	meme
class	NOUN	classe
government	NOUN	gouvernement
how	SCONJ	comment
call	VERB	appelée
each	DET	chacune
find	VERB	trouvée
center	NOUN	centrer
style	NOUN	style
com	NOUN	ocm
long	ADV	longues
country	NOUN	pays
back	ADV	dos
way	NOUN	façon
modify	VERB	modifiez
end	NOUN	fin
public	ADJ	publics
play	VERB	joués
win	VERB	gagné
release	VERB	publié
add	VERB	ajoutés
support	NOUN	soutien
former	ADJ	ancien
those	DET	ceux
church	NOUN	église
east	PROPN	orientale
line	NOUN	ligne
major	ADJ	commandant
member	NOUN	membres
much	ADV	beaucoup
image	NOUN	image
show	VERB	afficher
still	ADV	encore
think	VERB	pense
below	ADP	dessous
town	NOUN	ville
last	ADJ	dernier
system	NOUN	système
right	INTJ	droite
song	NOUN	chant
notable	ADJ	notables
section	NOUN	section
single	ADJ	célibataire
align	VERB	aligner
home	NOUN	maison
woman	NOUN	femmes
television	NOUN	téléviseur
seed	NOUN	graine
goal	NOUN	buts
source	NOUN	sources
book	NOUN	livre
station	NOUN	gare
order	NOUN	ordre
old	ADJ	ancienne
information	NOUN	informations
set	VERB	définir
own	ADJ	propres
text	NOUN	textes
band	NOUN	groupe
point	VERB	pointé
local	ADJ	locale
around	ADV	autour
river	NOUN	fleuve
top	ADJ	haut
main	ADJ	principal
language	NOUN	langue
french	PROPN	francais
name	VERB	nommée
off	ADV	hors
note	VERB	remarque
career	NOUN	carrière
original	ADJ	originale
age	NOUN	ère
service	NOUN	service
establish	VERB	établies
locate	VERB	situés
say	VERB	dit
website	NOUN	site
population	NOUN	populations
air	NOUN	aérien
german	ADJ	allemand
law	NOUN	loi
military	NOUN	armée
great	ADJ	super
publish	VERB	publiée
president	NOUN	présidente
park	NOUN	parc
official	NOUN	fonctionnaire
case	NOUN	cas
london	PROPN	londres
although	SCONJ	quoique
small	ADJ	petit
third	ADJ	troisieme
different	ADJ	différentes
due	ADJ	dus
get	VERB	obtenez
village	NOUN	bourgs
close	VERB	fermée
art	NOUN	artistique
final	ADJ	définitif
community	NOUN	communaute
hold	VERB	tenu
again	ADV	encore
begin	VERB	commencé
army	NOUN	armée
award	NOUN	récompense
without	ADP	sans
death	NOUN	décès
build	VERB	construite
man	NOUN	masculins
large	ADJ	grands
site	NOUN	site
white	PROPN	blanche
five	NUM	cinq
central	ADJ	centrale
road	NOUN	routier
child	NOUN	enfants
free	ADJ	gratuit
take	VERB	pris
england	VERB	angleterre
association	NOUN	association
down	ADV	descendre
give	VERB	donné
california	PROPN	californie
version	NOUN	version
write	VERB	ecrit
create	VERB	créée
medium	NOUN	média
black	ADJ	noire
report	NOUN	signaler
division	NOUN	circonscription
have	VERB	ayant
king	NOUN	roi
stadium	VERB	stade
die	VERB	morte
ship	NOUN	navire
research	NOUN	recherches
record	NOUN	enregistre
archive	NOUN	archivage
undo	NOUN	annuler
cup	NOUN	gobelet
often	ADV	souvent
few	ADJ	peu
receive	VERB	reçu
side	NOUN	latéraux
power	NOUN	puissance
education	NOUN	enseignement
category	NOUN	catégorie
water	NOUN	eaux
specie	NOUN	espèces
